airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline
neutral,0.7118,no_complaint,0.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,0.6939,Flight Booking Problems,0.6939,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,0.635,no_complaint,1.0,Virgin America
neutral,0.7007,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
neutral,0.6858,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.6814,no_complaint,0.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
negative,1.0,Late Flight,0.6789,Virgin America
positive,0.6922,no_complaint,1.0,Virgin America
negative,1.0,Lost Luggage,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.6492,no_complaint,0.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Flight Attendant Complaints,0.3516,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,0.6792,Late Flight,0.3477,Virgin America
negative,1.0,Can't Tell,1.0,Virgin America
negative,1.0,Can't Tell,1.0,Virgin America
negative,1.0,Flight Booking Problems,1.0,Virgin America
neutral,0.6705,no_complaint,0.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.6545,no_complaint,0.0,Virgin America
negative,1.0,Can't Tell,0.6513,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.6639,no_complaint,0.0,Virgin America
negative,1.0,Cancelled Flight,1.0,Virgin America
negative,1.0,Late Flight,1.0,Virgin America
neutral,0.6765,no_complaint,0.0,Virgin America
negative,1.0,Customer Service Issue,0.6863,Virgin America
negative,1.0,Customer Service Issue,0.6771,Virgin America
negative,1.0,Can't Tell,0.659,Virgin America
negative,1.0,Flight Booking Problems,0.6714,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Late Flight,0.6882,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,0.6925,Late Flight,0.3521,Virgin America
negative,1.0,Late Flight,0.3486,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
negative,1.0,Flight Booking Problems,0.6366,Virgin America
neutral,0.6593,no_complaint,0.0,Virgin America
positive,0.6823,no_complaint,0.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,0.6806,no_complaint,1.0,Virgin America
neutral,0.6529,no_complaint,1.0,Virgin America
positive,0.6779999999999999,no_complaint,1.0,Virgin America
positive,0.3482,no_complaint,0.0,Virgin America
negative,1.0,Late Flight,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,0.6832,Customer Service Issue,0.3773,Virgin America
negative,1.0,Flight Booking Problems,0.6767,Virgin America
negative,1.0,Customer Service Issue,0.6527,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,0.6703,Customer Service Issue,0.6703,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.6535,no_complaint,0.0,Virgin America
negative,1.0,Customer Service Issue,0.6448,Virgin America
negative,1.0,Can't Tell,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Cancelled Flight,0.6875,Virgin America
negative,1.0,Late Flight,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,0.7011,no_complaint,1.0,Virgin America
negative,1.0,Flight Booking Problems,1.0,Virgin America
negative,0.6543,Flight Attendant Complaints,0.3562,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.355,no_complaint,0.0,Virgin America
negative,0.6889,Late Flight,0.6889,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Cancelled Flight,1.0,Virgin America
negative,0.679,Flight Booking Problems,0.3684,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Damaged Luggage,0.6501,Virgin America
negative,1.0,Damaged Luggage,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.6732,no_complaint,0.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,0.6983,Virgin America
negative,0.6593,Cancelled Flight,0.6593,Virgin America
negative,1.0,Flight Booking Problems,0.6556,Virgin America
negative,1.0,Late Flight,0.3571,Virgin America
negative,1.0,Cancelled Flight,1.0,Virgin America
negative,1.0,Bad Flight,1.0,Virgin America
negative,0.6517,Customer Service Issue,0.3371,Virgin America
negative,0.68,Customer Service Issue,0.35,Virgin America
negative,1.0,Customer Service Issue,0.7002,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
negative,1.0,longlines,0.6818,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Can't Tell,0.6629999999999999,Virgin America
negative,1.0,Customer Service Issue,0.6777,Virgin America
neutral,0.6816,no_complaint,0.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
negative,1.0,Cancelled Flight,0.3709,Virgin America
neutral,0.6701,no_complaint,0.0,Virgin America
neutral,0.6942,no_complaint,0.0,Virgin America
negative,1.0,Customer Service Issue,0.7148,Virgin America
negative,0.6791,Cancelled Flight,0.6791,Virgin America
positive,0.3579,no_complaint,0.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.653,no_complaint,1.0,Virgin America
negative,1.0,Can't Tell,0.648,Virgin America
negative,1.0,Flight Attendant Complaints,0.6729,Virgin America
neutral,0.6743,no_complaint,0.0,Virgin America
positive,0.6783,no_complaint,1.0,Virgin America
neutral,0.6863,no_complaint,1.0,Virgin America
negative,1.0,Flight Booking Problems,0.6705,Virgin America
negative,1.0,Can't Tell,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Flight Booking Problems,0.6648,Virgin America
negative,1.0,Cancelled Flight,1.0,Virgin America
negative,1.0,Flight Booking Problems,1.0,Virgin America
negative,0.7158,Cancelled Flight,0.7158,Virgin America
negative,1.0,Cancelled Flight,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,0.6733,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.6809,no_complaint,0.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,0.6775,no_complaint,0.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,0.7053,Bad Flight,0.7053,Virgin America
negative,1.0,Late Flight,1.0,Virgin America
negative,0.642,Cancelled Flight,0.642,Virgin America
positive,0.6667,no_complaint,0.0,Virgin America
negative,1.0,Cancelled Flight,0.6735,Virgin America
negative,1.0,Customer Service Issue,0.6968,Virgin America
neutral,0.634,no_complaint,0.0,Virgin America
negative,0.6990000000000001,Customer Service Issue,0.6990000000000001,Virgin America
negative,0.664,Cancelled Flight,0.3412,Virgin America
negative,1.0,Cancelled Flight,0.6452,Virgin America
negative,1.0,Customer Service Issue,0.6766,Virgin America
negative,1.0,Flight Booking Problems,0.6954,Virgin America
negative,1.0,Cancelled Flight,1.0,Virgin America
positive,0.6522,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Can't Tell,0.6526,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
positive,0.7081,no_complaint,1.0,Virgin America
negative,0.6455,Flight Booking Problems,0.3497,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,0.6899,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,0.6701,Customer Service Issue,0.3505,Virgin America
positive,0.6575,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,0.6701,no_complaint,1.0,Virgin America
negative,0.6489,Late Flight,0.6489,Virgin America
negative,0.6786,Cancelled Flight,0.6786,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
negative,0.6473,Lost Luggage,0.3341,Virgin America
positive,0.6771,no_complaint,1.0,Virgin America
negative,0.6636,Customer Service Issue,0.6636,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,0.6706,Bad Flight,0.3514,Virgin America
negative,1.0,Flight Booking Problems,0.6809,Virgin America
negative,1.0,Damaged Luggage,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.6598,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.6701,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Bad Flight,0.6765,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,0.6965,Bad Flight,0.3634,Virgin America
negative,1.0,Customer Service Issue,0.6633,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,0.6368,Can't Tell,0.6368,Virgin America
negative,1.0,Customer Service Issue,0.6525,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,0.6855,no_complaint,1.0,Virgin America
neutral,0.6803,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Bad Flight,0.6761,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,0.6776,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Lost Luggage,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,0.6569,Customer Service Issue,0.6569,Virgin America
neutral,0.6773,no_complaint,0.0,Virgin America
neutral,0.642,no_complaint,0.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.6791,no_complaint,0.0,Virgin America
negative,1.0,Can't Tell,0.6421,Virgin America
negative,1.0,Flight Attendant Complaints,0.6458,Virgin America
negative,1.0,Bad Flight,0.6979,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Flight Booking Problems,0.3895,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,0.6655,Virgin America
neutral,0.6625,no_complaint,0.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Lost Luggage,1.0,Virgin America
negative,0.662,Flight Booking Problems,0.662,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,0.6884,no_complaint,1.0,Virgin America
positive,0.6658,no_complaint,1.0,Virgin America
neutral,0.375,no_complaint,0.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Can't Tell,1.0,Virgin America
neutral,0.6529,no_complaint,1.0,Virgin America
negative,1.0,Flight Booking Problems,0.6667,Virgin America
negative,1.0,Customer Service Issue,0.6237,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,0.6596,Virgin America
negative,1.0,Flight Booking Problems,0.6841,Virgin America
neutral,0.6667,no_complaint,1.0,Virgin America
positive,0.6809,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.6354,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.6742,no_complaint,0.0,Virgin America
neutral,0.6745,no_complaint,1.0,Virgin America
negative,1.0,Lost Luggage,1.0,Virgin America
neutral,0.6461,no_complaint,1.0,Virgin America
positive,0.6482,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Flight Booking Problems,0.6406,Virgin America
negative,0.6381,Flight Booking Problems,0.3279,Virgin America
neutral,0.6703,no_complaint,1.0,Virgin America
neutral,0.6559,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,0.6543,Virgin America
neutral,0.6673,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,0.6875,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,0.6539,Customer Service Issue,0.3461,Virgin America
negative,0.6558,Late Flight,0.6558,Virgin America
negative,0.6596,Customer Service Issue,0.3617,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,0.6436,Can't Tell,0.324,Virgin America
negative,0.3617,Flight Booking Problems,0.3617,Virgin America
negative,1.0,Bad Flight,0.6723,Virgin America
negative,0.7223,longlines,0.7223,Virgin America
neutral,0.6925,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,0.6581,Virgin America
negative,1.0,Flight Booking Problems,0.6725,Virgin America
negative,0.654,Flight Booking Problems,0.3438,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.6624,no_complaint,0.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,0.6548,no_complaint,1.0,Virgin America
neutral,0.6696,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,0.6756,Can't Tell,0.6756,Virgin America
negative,1.0,Bad Flight,0.6899,Virgin America
negative,1.0,Bad Flight,1.0,Virgin America
positive,0.6888,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
negative,1.0,Late Flight,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
neutral,0.6837,no_complaint,1.0,Virgin America
positive,0.6667,no_complaint,1.0,Virgin America
positive,0.6395,no_complaint,1.0,Virgin America
negative,1.0,Can't Tell,1.0,Virgin America
neutral,0.6774,no_complaint,0.0,Virgin America
positive,0.6618,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,0.6871,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.6811,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.7026,no_complaint,0.0,Virgin America
positive,0.6724,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,0.6801,Flight Booking Problems,0.6801,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,0.6307,Customer Service Issue,0.6307,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Bad Flight,1.0,Virgin America
negative,1.0,Bad Flight,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.3483,no_complaint,0.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.639,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,0.6727,Customer Service Issue,0.6727,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
negative,0.6702,Customer Service Issue,0.6702,Virgin America
neutral,0.6769,no_complaint,0.0,Virgin America
negative,0.6876,Can't Tell,0.6876,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Can't Tell,1.0,Virgin America
negative,1.0,Customer Service Issue,0.6989,Virgin America
negative,0.6901,longlines,0.3802,Virgin America
neutral,0.6646,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.6629999999999999,no_complaint,1.0,Virgin America
neutral,0.6895,no_complaint,1.0,Virgin America
negative,0.6651,Flight Booking Problems,0.3413,Virgin America
neutral,0.6559,no_complaint,0.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,0.6655,no_complaint,1.0,Virgin America
positive,0.6522,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.6632,no_complaint,1.0,Virgin America
negative,1.0,Bad Flight,0.3556,Virgin America
negative,1.0,Bad Flight,0.6326,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.6477,no_complaint,0.0,Virgin America
neutral,0.6202,no_complaint,0.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Cancelled Flight,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Can't Tell,0.3373,Virgin America
negative,1.0,Damaged Luggage,0.3434,Virgin America
negative,1.0,Flight Attendant Complaints,0.6773,Virgin America
negative,0.6703,Bad Flight,0.6703,Virgin America
negative,1.0,Customer Service Issue,0.6977,Virgin America
positive,0.6431,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,0.6559,no_complaint,1.0,Virgin America
positive,0.6681,no_complaint,1.0,Virgin America
positive,0.7162,no_complaint,1.0,Virgin America
neutral,0.6941,no_complaint,1.0,Virgin America
negative,1.0,Late Flight,1.0,Virgin America
neutral,0.6705,no_complaint,1.0,Virgin America
positive,0.6733,no_complaint,1.0,Virgin America
neutral,0.6601,no_complaint,1.0,Virgin America
neutral,0.6198,no_complaint,1.0,Virgin America
neutral,0.3542,no_complaint,0.0,Virgin America
positive,0.6858,no_complaint,0.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,0.6803,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.6446,no_complaint,0.0,Virgin America
negative,1.0,Customer Service Issue,0.7012,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.6457,no_complaint,1.0,Virgin America
neutral,0.6731,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.6831,no_complaint,0.0,Virgin America
negative,1.0,Customer Service Issue,0.7055,Virgin America
positive,0.6779999999999999,no_complaint,0.0,Virgin America
negative,1.0,Cancelled Flight,0.6458,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
negative,1.0,Customer Service Issue,0.6834,Virgin America
negative,0.6579,Customer Service Issue,0.6579,Virgin America
negative,0.6515,Flight Booking Problems,0.3358,Virgin America
positive,0.3516,no_complaint,0.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.6667,no_complaint,0.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,0.6778,Bad Flight,0.6778,Virgin America
negative,0.3573,Late Flight,0.3573,Virgin America
negative,1.0,Customer Service Issue,0.6737,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.6694,no_complaint,0.0,Virgin America
neutral,0.6376,no_complaint,0.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,United
positive,1.0,no_complaint,1.0,United
negative,1.0,Cancelled Flight,0.703,United
negative,1.0,Late Flight,1.0,United
positive,0.3441,no_complaint,0.0,United
negative,0.3475,Can't Tell,0.3475,United
neutral,0.645,no_complaint,0.0,United
negative,0.6667,Can't Tell,0.3333,United
neutral,0.6761,no_complaint,0.0,United
negative,0.6735,Bad Flight,0.3476,United
neutral,1.0,no_complaint,1.0,United
positive,0.6634,no_complaint,1.0,United
positive,1.0,no_complaint,1.0,United
neutral,0.67,no_complaint,0.0,United
negative,1.0,Flight Booking Problems,0.6816,United
negative,1.0,Customer Service Issue,0.66,United
negative,0.6547,Customer Service Issue,0.3331,United
positive,0.6351,no_complaint,1.0,United
neutral,0.6768,no_complaint,0.0,United
negative,1.0,Lost Luggage,0.6886,United
neutral,1.0,no_complaint,1.0,United
neutral,1.0,no_complaint,1.0,United
negative,0.6526,Can't Tell,0.6526,United
positive,1.0,no_complaint,1.0,United
neutral,1.0,no_complaint,1.0,United
negative,1.0,Customer Service Issue,0.6703,United
negative,1.0,Customer Service Issue,1.0,United
neutral,1.0,no_complaint,1.0,United
neutral,1.0,no_complaint,1.0,United
negative,1.0,Can't Tell,0.7071,United
negative,1.0,Can't Tell,0.6614,United
neutral,1.0,no_complaint,1.0,United
negative,1.0,Customer Service Issue,0.6421,United
negative,1.0,Customer Service Issue,0.6459,United
neutral,0.6665,no_complaint,1.0,United
negative,1.0,Late Flight,0.6624,United
negative,1.0,longlines,0.6575,United
negative,0.6495,Can't Tell,0.6495,United
negative,0.6538,Customer Service Issue,0.6538,United
negative,1.0,Customer Service Issue,1.0,United
negative,0.6931,Can't Tell,0.3626,United
negative,1.0,Flight Attendant Complaints,0.3732,United
neutral,0.6492,no_complaint,0.0,United
neutral,0.6776,no_complaint,0.0,United
neutral,1.0,no_complaint,1.0,United
neutral,0.6523,no_complaint,0.0,United
negative,1.0,Flight Attendant Complaints,0.691,United
neutral,0.6629999999999999,no_complaint,0.0,United
positive,0.6793,no_complaint,0.0,United
negative,1.0,Customer Service Issue,0.6806,United
negative,1.0,Cancelled Flight,0.6716,United
negative,1.0,Lost Luggage,0.7021,United
neutral,0.6589,no_complaint,1.0,United
negative,1.0,Late Flight,0.6383,United
positive,1.0,no_complaint,1.0,United
negative,1.0,Flight Booking Problems,0.6516,United
negative,1.0,Late Flight,0.6542,United
negative,0.6695,Can't Tell,0.3356,United
positive,1.0,no_complaint,1.0,United
negative,1.0,Can't Tell,0.6684,United
negative,1.0,Flight Booking Problems,1.0,United
negative,0.6791,Damaged Luggage,0.6791,United
negative,1.0,Lost Luggage,0.6563,United
negative,1.0,Lost Luggage,1.0,United
negative,1.0,Customer Service Issue,0.3551,United
negative,1.0,Customer Service Issue,1.0,United
